,Supplier_Lead_Time,Inventory_Levels,Order_Frequency,Delivery_Performance,Cost_Per_Unit
Supplier_Lead_Time,1.0,0.2645503150327256,-0.8712203531126675,-0.934670395221241,0.9634016118461779
Inventory_Levels,0.2645503150327256,1.0,-0.27226709100055857,-0.19559942525658558,0.21600604008348293
Order_Frequency,-0.8712203531126675,-0.27226709100055857,1.0,0.8046525593265897,-0.8303981089916906
Delivery_Performance,-0.934670395221241,-0.19559942525658558,0.8046525593265897,1.0,-0.9238111619307757
Cost_Per_Unit,0.9634016118461779,0.21600604008348293,-0.8303981089916906,-0.9238111619307757,1.0
